date,close_btc,close_xrp,close_eth,close_ltc,close_eos,close_dash
6/16/2017,2508.58,0.2506,353.61,34.12,0,162.18
6/17/2017,2655.1,0.2597,368.1,45.8,0,175.27
6/18/2017,2539.56,0.2651,351.53,43.8,0,187.06
6/19/2017,2616.82,0.281,358.2,47.37,0,194.5
6/20/2017,2754.38,0.308,350.53,45.68,0,188.17
6/21/2017,2677.62,0.2726,325.3,44.5,0,178.96
6/22/2017,2722.84,0.2779,320.97,46.16,0,180.85
6/23/2017,2710.37,0.2916,326.85,46,0,184.69
6/24/2017,2590.05,0.2775,304.54,42.7,0,177.99
6/25/2017,2541.62,0.2577,279.36,41.28,0,169.59
6/26/2017,2446.05,0.2461,253.68,38.53,0,160.72
6/27/2017,2583.75,0.2618,286.14,40.24,0,172.98
6/28/2017,2577.74,0.2686,315.86,41.89,0,179.62
6/29/2017,2558.37,0.2561,292.9,40.13,0.85,172.13
6/30/2017,2480.61,0.2466,280.68,39.48,0.912,173.7
7/1/2017,2424.61,0.2386,261,38.08,1.05,162.01
7/2/2017,2536.46,0.2537,283.99,41.26,3,169.78
7/3/2017,2572.47,0.2523,276.41,45.34,4.2,178.55
7/4/2017,2617.32,0.2473,269.05,54.51,3.24,181.4
7/5/2017,2627.86,0.252,266,52.92,2.86,204.92
7/6/2017,2614.24,0.2506,265.88,51.04,3.23,207.71
7/7/2017,2513.88,0.2303,240.94,46.1,2.65,190.59
7/8/2017,2564.86,0.23,245.67,51.22,2.37,208.1
7/9/2017,2511.43,0.2261,237.72,48.63,2.22,195.49
7/10/2017,2344.02,0.1883,205.76,45,1.7,174.07
7/11/2017,2324.29,0.1778,190.55,43.98,1.53,162.62
7/12/2017,2403.09,0.1958,224.15,47.14,1.96,177.73
7/13/2017,2362.44,0.1925,205.41,45.69,1.71,167.74
7/14/2017,2234.17,0.1843,197.14,42.46,1.51,159.51
7/15/2017,1975.08,0.172,169.1,38.41,1.29,141.88
7/16/2017,1914.09,0.1461,155.42,40.7,1.22,131.35
7/17/2017,2233.39,0.1723,189.97,42.17,1.51,149.99
7/18/2017,2320.23,0.1788,227.09,43.35,1.67,154.61
7/19/2017,2282.58,0.163,194.41,40.11,1.45,153.52
7/20/2017,2866.02,0.1925,226.33,44.35,1.71,182.7
7/21/2017,2675.08,0.1835,216.33,45.2,1.79,182.04
7/22/2017,2836.53,0.1977,230.47,46.47,2.03,190.17
7/23/2017,2756.61,0.1966,228.32,44.67,1.91,188.71
7/24/2017,2763.42,0.1915,225.48,44.77,1.9,201.48
7/25/2017,2582.58,0.1744,203.59,42.3,1.67,193.45
7/26/2017,2559.21,0.1723,202.88,42.03,1.66,192.22
7/27/2017,2691.88,0.1725,202.93,41.89,1.91,193.71
7/28/2017,2806.75,0.1633,191.21,40.43,1.8,184.58
7/29/2017,2733.5,0.169,206.14,41.07,1.81,185.5
7/30/2017,2766.49,0.1633,196.78,40.61,1.79,171.41
7/31/2017,2883.27,0.1648,201.33,42.38,1.72,175.72
8/1/2017,2746.99,0.1776,225.9,43.16,1.77,184.04
8/2/2017,2720.53,0.1709,218.12,41.92,1.76,181.6
8/3/2017,2809.99,0.1748,224.39,42.75,1.78,187.64
8/4/2017,2878.49,0.1744,220.6,43.31,1.78,187.09
8/5/2017,3262.8,0.1848,253.09,46.24,1.86,192
8/6/2017,3232.03,0.1802,264.56,45.56,1.76,188.77
8/7/2017,3401.91,0.1782,269.94,46.11,1.83,196.64
8/8/2017,3429.38,0.1967,296.51,49.13,1.86,203.31
8/9/2017,3348.79,0.1841,295.28,47.78,1.82,198.94
8/10/2017,3425.67,0.1809,298.28,46.97,1.84,201.01
8/11/2017,3654.37,0.1778,309.32,47.11,1.76,205.66
8/12/2017,3871.62,0.1716,308.02,46.27,1.65,204.29
8/13/2017,4062.6,0.1657,296.62,45.49,1.59,196.9
8/14/2017,4327.94,0.1683,299.16,45.7,1.61,198.74
8/15/2017,4161.66,0.1577,286.52,43.17,1.62,202.64
8/16/2017,4387.4,0.1603,301.38,43.97,1.59,231.08
8/17/2017,4278.92,0.1578,300.3,43.83,1.52,234.74
8/18/2017,4105.37,0.1569,292.62,46.74,1.4,222.63
8/19/2017,4150.45,0.1526,293.02,45.19,1.39,286.58
8/20/2017,4066.6,0.1587,298.2,45.81,1.36,291.51
8/21/2017,4005.1,0.1958,321.85,48.09,1.33,281.22
8/22/2017,4089.7,0.2421,313.37,46.4,1.27,291.76
8/23/2017,4141.09,0.2457,317.4,53.44,1.42,292.46
8/24/2017,4318.35,0.2173,325.28,50.36,1.37,313.34
8/25/2017,4364.41,0.2167,330.06,51.09,1.37,314.96
