date,close
2017-03-29,4.32
2017-03-30,7.5
2017-03-31,7.1
2017-04-01,7.48
2017-04-02,8.22
2017-04-03,8.57
2017-04-04,8.97
2017-04-05,12.39
2017-04-06,10.7
2017-04-07,9.89
2017-04-08,10.66
2017-04-09,9.21
2017-04-10,9.8
2017-04-11,9.66
2017-04-12,11.6
2017-04-13,11.06
2017-04-14,11.67
2017-04-15,11.67
2017-04-16,11.73
2017-04-17,11.26
2017-04-18,11.06
2017-04-19,10.29
2017-04-20,10.97
2017-04-21,12.0
2017-04-22,14.05
2017-04-23,15.15
2017-04-24,14.87
2017-04-25,15.06
2017-04-26,14.89
2017-04-27,14.66
2017-04-28,14.25
2017-04-29,15.75
2017-04-30,15.63
2017-05-01,15.74
2017-05-02,15.57
2017-05-03,20.53
2017-05-04,22.95
2017-05-05,25.2
2017-05-06,27.46
2017-05-07,29.5
2017-05-08,28.1
2017-05-09,31.77
2017-05-10,31.28
2017-05-11,29.88
2017-05-12,26.76
2017-05-13,28.14
2017-05-14,28.07
2017-05-15,24.5
2017-05-16,22.83
2017-05-17,25.06
2017-05-18,27.88
2017-05-19,27.27
2017-05-20,27.42
2017-05-21,26.02
2017-05-22,24.79
2017-05-23,31.36
2017-05-24,34.8
2017-05-25,28.32
2017-05-26,24.45
2017-05-27,22.83
2017-05-28,23.89
2017-05-29,25.33
2017-05-30,23.89
2017-05-31,25.91
2017-06-01,27.55
2017-06-02,28.27
2017-06-03,27.27
2017-06-04,27.89
2017-06-05,30.78
2017-06-06,30.07
2017-06-07,28.47
2017-06-08,29.9
2017-06-09,29.54
2017-06-10,30.06
2017-06-11,33.63
2017-06-12,28.98
2017-06-13,30.38
2017-06-14,29.19
2017-06-15,29.29
2017-06-16,34.12
2017-06-17,45.8
2017-06-18,43.8
2017-06-19,47.37
2017-06-20,45.68
2017-06-21,44.5
2017-06-22,46.16
2017-06-23,46.0
2017-06-24,42.7
2017-06-25,41.28
2017-06-26,38.53
2017-06-27,40.24
2017-06-28,41.89
2017-06-29,40.13
2017-06-30,39.48
2017-07-01,38.08
2017-07-02,41.26
2017-07-03,45.34
2017-07-04,54.51
2017-07-05,52.92
2017-07-06,51.04
2017-07-07,46.1
2017-07-08,51.22
2017-07-09,48.63
2017-07-10,45.0
2017-07-11,43.98
2017-07-12,47.14
2017-07-13,45.69
2017-07-14,42.46
2017-07-15,38.41
2017-07-16,40.7
2017-07-17,42.17
2017-07-18,43.35
2017-07-19,40.11
2017-07-20,44.35
2017-07-21,45.2
2017-07-22,46.47
2017-07-23,44.67
2017-07-24,44.77
2017-07-25,42.3
2017-07-26,42.03
2017-07-27,41.89
2017-07-28,40.43
2017-07-29,41.07
2017-07-30,40.61
2017-07-31,42.38
2017-08-01,43.16
2017-08-02,41.92
2017-08-03,42.75
2017-08-04,43.31
2017-08-05,46.24
2017-08-06,45.56
2017-08-07,46.11
2017-08-08,49.13
2017-08-09,47.78
2017-08-10,46.97
2017-08-11,47.11
2017-08-12,46.27
2017-08-13,45.49
2017-08-14,45.7
2017-08-15,43.17
2017-08-16,43.97
2017-08-17,43.83
2017-08-18,46.74
2017-08-19,45.19
2017-08-20,45.81
2017-08-21,48.09
2017-08-22,46.4
2017-08-23,53.44
2017-08-24,50.36
2017-08-25,51.09
2017-08-26,51.58
2017-08-27,61.08
2017-08-28,62.36
2017-08-29,63.76
2017-08-30,65.97
2017-08-31,73.03
2017-09-01,87.88
2017-09-02,79.18
2017-09-03,79.04
2017-09-04,68.89
2017-09-05,73.73
2017-09-06,81.44
2017-09-07,80.25
2017-09-08,73.19
2017-09-09,71.09
2017-09-10,67.08
2017-09-11,68.13
2017-09-12,65.89
2017-09-13,61.78
2017-09-14,45.2
2017-09-15,52.0
2017-09-16,52.1
2017-09-17,51.0
2017-09-18,56.16
2017-09-19,52.8
2017-09-20,51.56
2017-09-21,46.46
2017-09-22,47.67
2017-09-23,49.29
2017-09-24,47.5
2017-09-25,52.27
2017-09-26,52.27
2017-09-27,56.9
2017-09-28,54.91
2017-09-29,52.8
2017-09-30,55.41
2017-10-01,54.8
2017-10-02,53.29
2017-10-03,52.15
2017-10-04,51.22
2017-10-05,51.64
2017-10-06,52.08
2017-10-07,52.57
2017-10-08,53.3
2017-10-09,50.08
2017-10-10,50.58
2017-10-11,50.79
2017-10-12,59.72
2017-10-13,59.05
2017-10-14,63.94
2017-10-15,65.57
2017-10-16,64.76
2017-10-17,59.19
2017-10-18,60.55
2017-10-19,59.68
2017-10-20,60.09
2017-10-21,58.09
2017-10-22,56.51
2017-10-23,54.63
2017-10-24,55.56
2017-10-25,56.19
2017-10-26,55.55
2017-10-27,55.02
2017-10-28,54.22
2017-10-29,56.75
2017-10-30,56.22
2017-10-31,55.5
2017-11-01,52.83
2017-11-02,54.19
2017-11-03,55.98
2017-11-04,54.83
2017-11-05,54.6
2017-11-06,54.5
2017-11-07,60.52
2017-11-08,62.38
2017-11-09,64.15
2017-11-10,58.99
2017-11-11,62.14
2017-11-12,58.54
2017-11-13,61.0
2017-11-14,62.13
2017-11-15,63.16
2017-11-16,70.7
2017-11-17,67.36
2017-11-18,69.42
2017-11-19,71.76
2017-11-20,72.38
2017-11-21,69.91
2017-11-22,72.03
2017-11-23,72.94
2017-11-24,77.54
2017-11-25,88.79
2017-11-26,86.24
2017-11-27,90.99
2017-11-28,94.22
2017-11-29,85.41
2017-11-30,85.94
2017-12-01,99.15
2017-12-02,99.32
2017-12-03,100.7
2017-12-04,103.87
2017-12-05,100.49
2017-12-06,98.97
2017-12-07,96.0
2017-12-08,125.24
2017-12-09,155.98
2017-12-10,147.84
2017-12-11,214.54
2017-12-12,328.52
2017-12-13,305.27
2017-12-14,279.81
2017-12-15,300.27
2017-12-16,302.04
2017-12-17,319.57
2017-12-18,357.51
2017-12-19,346.87
2017-12-20,304.81
2017-12-21,307.69
2017-12-22,262.09
2017-12-23,284.11
2017-12-24,272.24
2017-12-25,268.21
2017-12-26,279.49
2017-12-27,264.07
2017-12-28,249.86
2017-12-29,243.13
2017-12-30,212.07
2017-12-31,226.52
2018-01-01,224.34
2018-01-02,251.81
2018-01-03,244.63
2018-01-04,238.3
2018-01-05,244.51
2018-01-06,278.92
2018-01-07,271.57
2018-01-08,254.25
2018-01-09,246.04
2018-01-10,249.1
2018-01-11,226.53
2018-01-12,235.35
2018-01-13,257.94
2018-01-14,236.86
2018-01-15,231.89
2018-01-16,183.86
2018-01-17,188.21
2018-01-18,191.03
2018-01-19,192.27
2018-01-20,210.68
2018-01-21,190.73
2018-01-22,179.42
2018-01-23,177.92
2018-01-24,180.59
2018-01-25,178.97
2018-01-26,175.65
2018-01-27,180.71
2018-01-28,193.23
2018-01-29,180.45
2018-01-30,165.38
2018-01-31,162.93
2018-02-01,141.37
2018-02-02,131.17
2018-02-03,161.0
2018-02-04,147.55
2018-02-05,125.04
2018-02-06,141.85
2018-02-07,137.84
2018-02-08,149.48
2018-02-09,163.9
2018-02-10,154.91
2018-02-11,149.06
2018-02-12,161.4
2018-02-13,159.05
2018-02-14,212.01
2018-02-15,221.08
2018-02-16,228.39
2018-02-17,229.41
2018-02-18,214.22
2018-02-19,221.97
2018-02-20,229.38
2018-02-21,210.26
2018-02-22,192.91
2018-02-23,206.6
2018-02-24,206.35
2018-02-25,218.31
2018-02-26,218.62
2018-02-27,215.15
2018-02-28,202.14
2018-03-01,209.32
2018-03-02,212.59
2018-03-03,210.29
2018-03-04,213.36
2018-03-05,210.8
2018-03-06,196.58
2018-03-07,186.04
2018-03-08,175.82
2018-03-09,186.38
2018-03-10,177.3
2018-03-11,188.39
2018-03-12,177.85
2018-03-13,175.47
2018-03-14,160.77
2018-03-15,164.28
2018-03-16,164.95
2018-03-17,152.65
2018-03-18,153.94
2018-03-19,161.51
2018-03-20,169.09
2018-03-21,168.71
2018-03-22,163.93
2018-03-23,168.85
2018-03-24,159.05
2018-03-25,160.31
2018-03-26,148.28
2018-03-27,134.88
2018-03-28,131.66
2018-03-29,114.66
2018-03-30,118.49
2018-03-31,116.32
2018-04-01,115.11
2018-04-02,119.26
2018-04-03,134.23
2018-04-04,118.36
2018-04-05,118.76
2018-04-06,113.18
2018-04-07,116.2
2018-04-08,117.87
2018-04-09,115.02
2018-04-10,114.41
2018-04-11,118.4
2018-04-12,129.71
2018-04-13,125.57
2018-04-14,126.53
2018-04-15,132.7
2018-04-16,128.84
2018-04-17,132.34
2018-04-18,140.48
2018-04-19,146.58
2018-04-20,155.73
2018-04-21,148.5
2018-04-22,146.67
2018-04-23,152.64
2018-04-24,164.69
2018-04-25,144.99
2018-04-26,153.22
2018-04-27,145.87
2018-04-28,151.96
2018-04-29,153.43
2018-04-30,148.27
2018-05-01,147.99
2018-05-02,151.21
2018-05-03,161.22
2018-05-04,168.73
2018-05-05,178.16
2018-05-06,171.66
2018-05-07,164.23
2018-05-08,159.04
2018-05-09,156.78
